HotspotID,LabName,Addresses,City,Latitude,Longitude
110,"Thyrocare Technologies Limited,  Navi Mumbai","Thyrocare Technologies Limited, D-37/1 MIDC Turbhe Opp Sandoz, MIDC Industrial Area, Sanpada, Navi Mumbai, Maharashtra 400703",  Navi Mumbai,,
111,"Sir H.N. Reliance Foundation Hospital and Research Center, Mumbai","Reliance Life Sciences Pvt Ltd, MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale, Navi Mumbai, Maharashtra 400701", Mumbai,,
112,"Suburban Diagnostics(INDIA) Pvt. Ltd, Mumbai","2nd Floor Aston, Shastri Nagar, Andheri (W), Mumbai, Maharashtra, India 400053", Mumbai,19.1309,72.8526
113,"Metropolis Healthcare Ltd, Mumbai","Metropolis Healthcare Ltd, 4th Floor, Commerical Building 1-A, Kohinoor City Mall, Off LBS Marg, Vidyavihar (West), Mumbai, Maharashtra 400070", Mumbai,,
114,"Unipath Speciality Laboratory Limited, Ahmedabad","Unipath Speciality Laboratory Limited, 102, 1st Floor, Sanoma Plaza, Sheth Mangald Road, Opp. Parimal Garden, Ellisbridge, Ahmedabad, Gujarat 380006", Ahmedabad,,
115,"Neuberg Anand Reference Laboratory, Bengaluru","Neuberg Anand Reference Laboratory, Anand Tower, #54, bowring Hospital Road, Bengaluru, Karnataka, India 560001", Bengaluru,12.9914,77.5944
116,"SRL Diagnostics, Goregaon West","SRL Diagnostics, Plot No 1, Prime Square building, Gaiwadi Industrial, estate, Next to Patel Petrol Pump, Opposite Mahesh Nagar, S.V. Road, Goregaon West, Mumbai, Maharashtra 400062", Goregaon West,19.07283,72.88261
117," Christian Medical College, Vellore","Department of Clinical Virology, Christian Medical College, 9th Floor, ASHA Building, IDA Scudder Road, Christian Medical College, Vellore, Tamil Nadu, India Pin 632004", Vellore,,
118,"Apollo Hospitals Enterprise Limited, Chennai","Department of Laboratory Services, Apollo Hospitals Enterprise Limited, 21 Greams Lane, Off Greams Road, Chennai Tamil Nadu Pin 600006", Chennai,,
119,"Strand Life Sciences, Gurugram","Strand Life Sciences, A-17, Info Technology Park, Sector 34, Gurugram, Haryana 122001", Gurugram,29.25,76.33333
122," Ram Manohar Lohia Hospital, New Delhi","Ram Manohar Lohia Hospital, Type III, President's Estate, New Delhi, Delhi 110001", New Delhi,28.63576,77.22445
123,"Institute of Liver and Biliary Sciences, New Delhi","D1 ILBS Road, Vasant Kunj, New Delhi, Delhi 110070", New Delhi,28.5439,77.1523
124,"National Centre for Disease Control, New Delhi","22, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054", New Delhi,28.6747651,77.22553
125,"Army Hospital Research & Referral, New Delhi","Army Hospital Research & Referral, Military Hospital Road, Near Subroto Park, Dhaula Kuan, New Delhi, Delhi 110010", New Delhi,28.8047,77.6823
126,"Command Hospital, Udhampur","Command Hospital, Raghunathpura, Udhampur, Jammu and Kashmir 182101", Udhampur,25.8317,74.089
127,"SRL Limited, Gurugram","SRL Limited, GP 26 Sector 18, Gurugram, Haryana, India  122015", Gurugram,29.25,76.33333
128,"Command Hospital (Air Force), Bengaluru","Command Hospital (Air Force) , Cambridge Rd, Cambridge Layout, Jogupalya, Bengaluru, Karnataka 560007", Bengaluru,13.2029,76.9627
129,"ICMR-National Institute of Virology, Field Unit, Bangalore","National Institute of Virology, Field Unit, Rajiv Gandhi Institute of Chest Disease Premises, Near NIMHANS, Someshwaranagar, 1stMain, Dharmaram College Post, Bangalore 560029", Bangalore,,
130,"ICMR-National Institute of Virology, Pune","National Institute of Virology, Pune, 130/1, Pashan - Sus Rd, Pashan Gaon, Pashan, Pune, Maharashtra 411021", Pune,,
132,"Rajiv Gandhi Center for Biotechnology, Thiruvananthapuram","Rajiv Gandhi Center for Biotechnology, Melarannoor Road Behind Central Jail Poojapura, Thycaud, Thiruvananthapuram, Kerala 695014", Thiruvananthapuram,,
133,"Sree Chitra Tirunal Institute for Medical Sciences & Technology, Thiruvananthapuram","Sree Chitra Tirunal Institute for Medical Sciences & Technology, Jai Nagar W Rd, Chalakkuzhi, Thiruvananthapuram, Kerala 695011", Thiruvananthapuram,27.42397,77.09922
134,"Kasturba Hospital for Infectious Diseases, Mumbai","Kasturba Hospital for Infectious Diseases, Mumbai, Sane Guruji Marg, Arya Nagar, Chinchpokli, Mumbai, Maharashtra 400034", Mumbai,19.0167,72.85
135,"Armed Forces Medical College, Pune","Armed Forces Medical College, Southern Command, Solapur Road, Wanowrie, Near Race Course, Pune, Maharashtra 411040", Pune,18.51957,73.85535
136,"BJ Medical College, Pune","BJ Medical College, Jai Prakash Narayan Road, Railway Station Rd, near Pune, Maharashtra 411001", Pune,18.5196,73.8554
137,"Gandhi Medical College, Bhopal","Gandhi Medical College, Sultania Rd, near Hamidia Hospital, Royal Market, Bhopal, Madhya Pradesh 462001", Bhopal,,
138,"ICMR-National Institute of Virology Field Unit, Mumbai","National Institute of Virology Field Unit, Mumbai, Haffkine Institute Compound, A D Marg, Parel Mumbai 4000012", Mumbai,,
139,"JLN Medical College, Ajmer","JLN Medical College, Kala Bagh, Ajmer, Rajasthan 305001", Ajmer,26.44976,74.64116
140,"Command Hospital, Lucknow","Command Hospital, Lucknow, Uttar Pradesh 226002", Lucknow,26.8176012,80.94033
141,"Govt. Medical College, Kota","Govt. Medical College, Rangbari Rd, Sector - A, Rangbari, Kota, Rajasthan 324010", Kota,25.18254,75.83907
142,"Lala Lajpat Rai Memorial Medical College, Meerut","Garh Road, Jai Bhim Nagar, Meerut, Uttar Pradesh 250002", Meerut,28.967,77.6657
143,"Sanjay Gandhi Post Graduate Institute, Lucknow","New PMSSY Rd, Raibareli Rd, Lucknow, Uttar Pradesh 226014", Lucknow,26.697,83.1876
144,"Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Ahmedabad","Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Neuberg Supratech, Ground Floor, Kedar Builiding, Opp. Krupa petrol Pump Parimal garden, Gujarat 380006", Ahmedabad,,
